event_id,name,year,start_date,end_date,discipline,category,old_level,new_level,result_count
161,Swiss Junior Championships,2018,2018-06-09,2018-06-10,WAG,junior,International Event,National Event,148
394,Swiss Junior Championships,2019,2019-06-01,2019-06-02,WAG,junior,International Event,National Event,100
670,Swiss Junior Championships,2021,2021-06-12,2021-06-13,WAG,junior,International Event,National Event,37
1043,Swiss Junior Championships,2023,2023-06-10,2023-06-11,MAG and WAG,junior,International Event,National Event,370
1423,Swiss Junior Championships,2025,2025-05-27,2025-05-31,MAG and WAG,junior,International Event,National Event,207
224,Swiss Team Championships,2019,2019-10-26,2019-10-27,MAG and WAG,junior and senior,International Event,National Event,706
977,Swiss Team Championships,2023,2023-10-28,2023-10-29,MAG and WAG,junior and senior,International Event,National Event,771
1453,Swiss Team Championships,2025,2025-11-23,2025-11-23,MAG and WAG,junior and senior,International Event,National Event,402
7,Turkish Championships,2018,2018-03-02,2018-03-04,MAG and WAG,junior and senior,International Event,National Event,276
227,Turkish Championships,2019,2019-03-01,2019-03-03,MAG and WAG,junior and senior,International Event,National Event,482
451,Turkish Championships,2020,2020-02-28,2020-03-01,MAG and WAG,junior and senior,International Event,National Event,462
555,Turkish Championships,2021,2021-03-26,2021-03-28,MAG and WAG,junior and senior,International Event,National Event,403
779,Turkish Championships,2022,2022-09-30,2022-10-02,MAG and WAG,junior and senior,International Event,National Event,1016
1000,Turkish Championships,2023,2023-08-25,2023-08-27,MAG and WAG,junior and senior,International Event,National Event,574
1236,Turkish Championships,2024,2024-09-27,2024-09-29,MAG and WAG,junior and senior,International Event,National Event,387
1444,Turkish Championships,2025,2025-09-12,2025-09-14,MAG and WAG,junior and senior,International Event,National Event,887
559,Turkish Team Championships,2021,2021-09-17,2021-09-19,MAG and WAG,junior and senior,International Event,National Event,397
1347,Turkish Team Championships,2024,2024-04-05,2024-04-07,WAG,junior and senior,International Event,National Event,177
1446,Turkish Team Championships,2025,2025-04-25,2025-04-27,MAG and WAG,junior and senior,International Event,National Event,1108
45,U.S. Championships,2018,2018-08-16,2018-08-19,MAG and WAG,junior and senior,International Event,National Event,1399
529,U.S. Championships,2021,2021-06-03,2021-06-06,MAG and WAG,junior and senior,International Event,National Event,1342
767,U.S. Championships,2022,2022-08-18,2022-08-21,MAG and WAG,junior and senior,International Event,National Event,1506
986,U.S. Championships,2023,2023-08-24,2023-08-27,MAG and WAG,junior and senior,International Event,National Event,1631
1287,U.S. Championships,2024,2024-05-30,2024-06-02,MAG and WAG,junior and senior,International Event,National Event,1346
1401,U.S. Championships,2025,2025-08-07,2025-08-10,MAG and WAG,junior and senior,International Event,National Event,1425
258,U.S. Championships D1,2019,2019-08-08,2019-08-11,MAG and WAG,junior and senior,International Event,National Event,713
257,U.S. Championships D2,2019,2019-08-08,2019-08-11,MAG and WAG,junior and senior,International Event,National Event,718
46,U.S. Men's National Qualifier,2018,2018-07-14,2018-07-14,MAG,junior and senior,International Event,National Event,345
267,U.S. Men's National Qualifier,2019,2019-07-06,2019-07-07,MAG,junior and senior,International Event,National Event,334
1681,U.S. Men's National Qualifier,2026,2026-06-27,2026-06-27,MAG,junior and senior,International Event,National Event,339
423,Ukrainian Championships,2019,2019-03-03,2019-03-07,WAG,junior and senior,International Event,National Event,304
